2020-04-08 13:59:34,647 MainThread      DEBUG    socket_framer  :147      Processing: 0x0 0x1 0x0 0x0 0x0 0x6 0x0 0x6 0x0 0x0 0x0 0x1
2020-04-08 13:59:34,648 MainThread      DEBUG    factory        :266      Factory Response[WriteSingleRegisterResponse: 6]
2020-04-08 13:59:34,648 MainThread      DEBUG    transaction    :383      Adding transaction 1
2020-04-08 13:59:34,648 MainThread      DEBUG    transaction    :394      Getting transaction 1
2020-04-08 13:59:34,649 MainThread      DEBUG    transaction    :193      Changing transaction state from 'PROCESSING REPLY' to 'TRANSACTION_COMPLETE'
2020-04-08 13:59:35,032 Thread-1        DEBUG    sync           :199      Handling data: 0x0 0x6 0x0 0x0 0x0 0x6 0x0 0x3 0x0 0x0 0x0 0x1
2020-04-08 13:59:35,033 Thread-1        DEBUG    socket_framer  :147      Processing: 0x0 0x6 0x0 0x0 0x0 0x6 0x0 0x3 0x0 0x0 0x0 0x1
2020-04-08 13:59:35,033 Thread-1        DEBUG    factory        :137      Factory Request[ReadHoldingRegistersRequest: 3]
2020-04-08 13:59:35,033 Thread-1        DEBUG    context        :64       validate: fc-[3] address-1: count-1
2020-04-08 13:59:35,034 Thread-1        DEBUG    context        :78       getValues fc-[3] address-1: count-1
2020-04-08 13:59:35,034 Thread-1        DEBUG    sync           :229      send: [ReadRegisterResponse (1)]- b'0006000000050003020001'
2020-04-08 13:59:35,539 Thread-1        DEBUG    sync           :199      Handling data: 0x0 0x7 0x0 0x0 0x0 0x6 0x0 0x3 0x0 0x0 0x0 0x1
2020-04-08 13:59:35,540 Thread-1        DEBUG    socket_framer  :147      Processing: 0x0 0x7 0x0 0x0 0x0 0x6 0x0 0x3 0x0 0x0 0x0 0x1
2020-04-08 13:59:35,540 Thread-1        DEBUG    factory        :137      Factory Request[ReadHoldingRegistersRequest: 3]
2020-04-08 13:59:35,540 Thread-1        DEBUG    context        :64       validate: fc-[3] address-1: count-1
2020-04-08 13:59:35,541 Thread-1        DEBUG    context        :78       getValues fc-[3] address-1: count-1
2020-04-08 13:59:35,541 Thread-1        DEBUG    sync           :229      send: [ReadRegisterResponse (1)]- b'0007000000050003020001'
2020-04-08 13:59:35,689 MainThread      DEBUG    transaction    :115      Current transaction state - TRANSACTION_COMPLETE
2020-04-08 13:59:35,690 MainThread      DEBUG    transaction    :120      Running transaction 2
2020-04-08 13:59:35,690 MainThread      DEBUG    transaction    :219      SEND: 0x0 0x2 0x0 0x0 0x0 0x6 0x0 0x6 0x0 0x0 0x0 0x0
2020-04-08 13:59:35,690 MainThread      DEBUG    sync           :75       New Transaction state 'SENDING'
2020-04-08 13:59:35,691 MainThread      DEBUG    transaction    :228      Changing transaction state from 'SENDING' to 'WAITING FOR REPLY'
2020-04-08 13:59:35,691 Thread-2        DEBUG    sync           :199      Handling data: 0x0 0x2 0x0 0x0 0x0 0x6 0x0 0x6 0x0 0x0 0x0 0x0
2020-04-08 13:59:35,691 Thread-2        DEBUG    socket_framer  :147      Processing: 0x0 0x2 0x0 0x0 0x0 0x6 0x0 0x6 0x0 0x0 0x0 0x0
2020-04-08 13:59:35,692 Thread-2        DEBUG    factory        :137      Factory Request[WriteSingleRegisterRequest: 6]
2020-04-08 13:59:35,692 Thread-2        DEBUG    context        :64       validate: fc-[6] address-1: count-1
2020-04-08 13:59:35,692 Thread-2        DEBUG    context        :90       setValues[6] 1:1
2020-04-08 13:59:35,693 Thread-2        DEBUG    context        :78       getValues fc-[6] address-1: count-1
2020-04-08 13:59:35,693 Thread-2        DEBUG    sync           :229      send: [WriteRegisterResponse 0 => 0]- b'000200000006000600000000'
2020-04-08 13:59:35,693 MainThread      DEBUG    transaction    :304      Changing transaction state from 'WAITING FOR REPLY' to 'PROCESSING REPLY'
2020-04-08 13:59:35,694 MainThread      DEBUG    transaction    :233      RECV: 0x0 0x2 0x0 0x0 0x0 0x6 0x0 0x6 0x0 0x0 0x0 0x0
2020-04-08 13:59:35,694 MainThread      DEBUG    socket_framer  :147      Processing: 0x0 0x2 0x0 0x0 0x0 0x6 0x0 0x6 0x0 0x0 0x0 0x0
2020-04-08 13:59:35,695 MainThread      DEBUG    factory        :266      Factory Response[WriteSingleRegisterResponse: 6]
2020-04-08 13:59:35,695 MainThread      DEBUG    transaction    :383      Adding transaction 2
2020-04-08 13:59:35,695 MainThread      DEBUG    transaction    :394      Getting transaction 2
2020-04-08 13:59:35,695 MainThread      DEBUG    transaction    :193      Changing transaction state from 'PROCESSING REPLY' to 'TRANSACTION_COMPLETE'
2020-04-08 13:59:36,046 Thread-1        DEBUG    sync           :199      Handling data: 0x0 0x8 0x0 0x0 0x0 0x6 0x0 0x3 0x0 0x0 0x0 0x1
2020-04-08 13:59:36,047 Thread-1        DEBUG    socket_framer  :147      Processing: 0x0 0x8 0x0 0x0 0x0 0x6 0x0 0x3 0x0 0x0 0x0 0x1
2020-04-08 13:59:36,047 Thread-1        DEBUG    factory        :137      Factory Request[ReadHoldingRegistersRequest: 3]
2020-04-08 13:59:36,047 Thread-1        DEBUG    context        :64       validate: fc-[3] address-1: count-1
2020-04-08 13:59:36,048 Thread-1        DEBUG    context        :78       getValues fc-[3] address-1: count-1
2020-04-08 13:59:36,048 Thread-1        DEBUG    sync           :229      send: [ReadRegisterResponse (1)]- b'0008000000050003020000'
2020-04-08 13:59:36,479 MainThread      DEBUG    transaction    :115      Current transaction state - TRANSACTION_COMPLETE
2020-04-08 13:59:36,479 MainThread      DEBUG    transaction    :120      Running transaction 3
2020-04-08 13:59:36,479 MainThread      DEBUG    transaction    :219      SEND: 0x0 0x3 0x0 0x0 0x0 0x6 0x0 0x6 0x0 0x0 0x0 0x1
2020-04-08 13:59:36,480 MainThread      DEBUG    sync           :75       New Transaction state 'SENDING'
2020-04-08 13:59:36,480 MainThread      DEBUG    transaction    :228      Changing transaction state from 'SENDING' to 'WAITING FOR REPLY'
2020-04-08 13:59:36,480 Thread-2        DEBUG    sync           :199      Handling data: 0x0 0x3 0x0 0x0 0x0 0x6 0x0 0x6 0x0 0x0 0x0 0x1
2020-04-08 13:59:36,481 Thread-2        DEBUG    socket_framer  :147      Processing: 0x0 0x3 0x0 0x0 0x0 0x6 0x0 0x6 0x0 0x0 0x0 0x1
2020-04-08 13:59:36,481 Thread-2        DEBUG    factory        :137      Factory Request[WriteSingleRegisterRequest: 6]
2020-04-08 13:59:36,481 Thread-2        DEBUG    context        :64       validate: fc-[6] address-1: count-1
2020-04-08 13:59:36,482 Thread-2        DEBUG    context        :90       setValues[6] 1:1
2020-04-08 13:59:36,482 Thread-2        DEBUG    context        :78       getValues fc-[6] address-1: count-1
2020-04-08 13:59:36,482 Thread-2        DEBUG    sync           :229      send: [WriteRegisterResponse 0 => 1]- b'000300000006000600000001'
2020-04-08 13:59:36,483 MainThread      DEBUG    transaction    :304      Changing transaction state from 'WAITING FOR REPLY' to 'PROCESSING REPLY'
2020-04-08 13:59:36,483 MainThread      DEBUG    transaction    :233      RECV: 0x0 0x3 0x0 0x0 0x0 0x6 0x0 0x6 0x0 0x0 0x0 0x1
2020-04-08 13:59:36,484 MainThread      DEBUG    socket_framer  :147      Processing: 0x0 0x3 0x0 0x0 0x0 0x6 0x0 0x6 0x0 0x0 0x0 0x1
2020-04-08 13:59:36,484 MainThread      DEBUG    factory        :266      Factory Response[WriteSingleRegisterResponse: 6]
2020-04-08 13:59:36,484 MainThread      DEBUG    transaction    :383      Adding transaction 3
2020-04-08 13:59:36,485 MainThread      DEBUG    transaction    :394      Getting transaction 3
2020-04-08 13:59:36,485 MainThread      DEBUG    transaction    :193      Changing transaction state from 'PROCESSING REPLY' to 'TRANSACTION_COMPLETE'
2020-04-08 13:59:36,553 Thread-1        DEBUG    sync           :199      Handling data: 0x0 0x9 0x0 0x0 0x0 0x6 0x0 0x3 0x0 0x0 0x0 0x1
2020-04-08 13:59:36,554 Thread-1        DEBUG    socket_framer  :147      Processing: 0x0 0x9 0x0 0x0 0x0 0x6 0x0 0x3 0x0 0x0 0x0 0x1
2020-04-08 13:59:36,554 Thread-1        DEBUG    factory        :137      Factory Request[ReadHoldingRegistersRequest: 3]
2020-04-08 13:59:36,554 Thread-1        DEBUG    context        :64       validate: fc-[3] address-1: count-1
2020-04-08 13:59:36,555 Thread-1        DEBUG    context        :78       getValues fc-[3] address-1: count-1
2020-04-08 13:59:36,555 Thread-1        DEBUG    sync           :229      send: [ReadRegisterResponse (1)]- b'0009000000050003020001'
2020-04-08 13:59:37,060 Thread-1        DEBUG    sync           :199      Handling data: 0x0 0xa 0x0 0x0 0x0 0x6 0x0 0x3 0x0 0x0 0x0 0x1
2020-04-08 13:59:37,060 Thread-1        DEBUG    socket_framer  :147      Processing: 0x0 0xa 0x0 0x0 0x0 0x6 0x0 0x3 0x0 0x0 0x0 0x1
2020-04-08 13:59:37,061 Thread-1        DEBUG    factory        :137      Factory Request[ReadHoldingRegistersRequest: 3]
2020-04-08 13:59:37,061 Thread-1        DEBUG    context        :64       validate: fc-[3] address-1: count-1
2020-04-08 13:59:37,061 Thread-1        DEBUG    context        :78       getValues fc-[3] address-1: count-1
2020-04-08 13:59:37,062 Thread-1        DEBUG    sync           :229      send: [ReadRegisterResponse (1)]- b'000a000000050003020001'
2020-04-08 13:59:37,169 MainThread      DEBUG    transaction    :115      Current transaction state - TRANSACTION_COMPLETE
2020-04-08 13:59:37,169 MainThread      DEBUG    transaction    :120      Running transaction 4
